Date,asset,year,strategy,horizon,threshold,signal,p_up,gross_asset_ret,turnover_asset,net_asset_ret,position_asset,daily_ret_clp,price_usd,usdclp,price_clp
2020-12-08,QQQ,2020,MOMENTUM,1,,1.0,,0.005139689693547167,0.0,0.005139689693547167,1.0,0.005139689693547167,297.6184387207031,744.7000122070312,221636.4549483452
2020-12-08,ECH,2020,LOGIT,5,0.6,0.0,0.538421190402161,0.0,0.0,0.0,0.0,0.012341643433780192,22.723115921020508,744.7000122070312,16921.90470376576
2020-12-08,CPER,2020,HGB,20,0.52,0.0,0.37330576053898984,-0.0,1.0,-0.0015,0.0,-0.0033176377942187862,21.639999389648438,744.7000122070312,16115.30780963134
2020-12-09,ECH,2020,LOGIT,5,0.6,0.0,0.40969050707287996,-0.0,0.0,-0.0,0.0,-0.0007515390631265273,22.71518898010254,744.4000244140625,16909.187231358374
2020-12-09,QQQ,2020,MOMENTUM,1,,1.0,,-0.02303479134748343,0.0,-0.02303479134748343,1.0,-0.02303479134748343,290.8800354003906,744.4000244140625,216531.10545361415
2020-12-09,CPER,2020,HGB,20,0.52,0.0,0.4234198044394458,0.0009829645453711677,1.0,-0.0005170354546288323,1.0,0.0009829645453711677,21.670000076293945,744.4000244140625,16131.14858584595
2020-12-10,QQQ,2020,MOMENTUM,1,,1.0,,0.0017227030239168606,0.0,0.0017227030239168606,1.0,0.0017227030239168606,292.048095703125,742.7000122070312,216904.12424375117
2020-12-10,CPER,2020,HGB,20,0.52,0.0,0.3164848820034437,0.0,0.0,0.0,0.0,0.020276520893362182,22.15999984741211,742.7000122070312,16458.232157180784
2020-12-10,ECH,2020,LOGIT,5,0.6,0.0,0.46263799740850514,0.0,0.0,0.0,0.0,0.007115371116303448,22.929180145263672,742.7000122070312,17029.502373784548
2020-12-11,QQQ,2020,MOMENTUM,1,,1.0,,-0.013499840597759438,0.0,-0.013499840597759438,1.0,-0.013499840597759438,291.4012756347656,734.2999877929688,213975.95314146392
2020-12-11,CPER,2020,HGB,20,0.52,0.0,0.2876273693185047,-0.0,0.0,-0.0,0.0,-0.022910279854295945,21.899999618530273,734.2999877929688,16081.1694525528
2020-12-11,ECH,2020,LOGIT,5,0.6,0.0,0.5135842797954419,-0.0,0.0,-0.0,0.0,-0.020537263820384344,22.71518898010254,734.2999877929688,16679.762990804273
2020-12-14,ECH,2020,LOGIT,5,0.6,0.0,0.46991938430356905,-0.0,0.0,-0.0,0.0,-0.006393736302021447,22.5853328704834,733.7999877929688,16573.116984660854
2020-12-14,CPER,2020,HGB,20,0.52,0.0,0.29142356978010797,-0.0,0.0,-0.0,0.0,-0.004787718387446183,21.809999465942383,733.7999877929688,16004.177341873175
2020-12-14,QQQ,2020,MOMENTUM,1,,1.0,,0.006569206134406924,0.0,0.006569206134406924,1.0,0.006569206134406924,293.5154113769531,733.7999877929688,215381.6052854564
2020-12-15,ECH,2020,LOGIT,5,0.6,0.0,0.5055386312197586,0.0,0.0,0.0,0.0,0.005385172161274099,22.672969818115234,734.9000244140625,16662.366072872188
2020-12-15,QQQ,2020,MOMENTUM,1,,1.0,,0.012204653794838816,0.0,0.012204653794838816,1.0,0.012204653794838816,296.6529541015625,734.9000244140625,218010.26321174204
2020-12-15,CPER,2020,HGB,20,0.52,0.0,0.2279387808338153,0.0,0.0,0.0,0.0,0.007468649196830324,21.940000534057617,734.9000244140625,16123.706928123487
2020-12-16,CPER,2020,HGB,20,0.52,0.0,0.25415384003709474,0.0,0.0,0.0,0.0,0.006563934009047534,22.059999465942383,735.7000122070312,16229.541876380914
2020-12-16,QQQ,2020,MOMENTUM,1,,1.0,,0.006594452820454011,0.0,0.006594452820454011,1.0,0.006594452820454011,298.2845153808594,735.7000122070312,219447.92160686664
