asset,test_year,strategy,horizon,threshold,robust_score,validation_positive_rate,median_val_return,median_val_sharpe,worst_val_return,worst_val_drawdown,test_return,test_sharpe,test_mdd,test_ann_vol
ECH,2021,CASH,5,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CPER,2021,HGB,20,0.6,0.5616223977138055,1.0,0.09056582228314913,0.6403209555495526,0.057570029704313574,-0.16393200145801445,0.028910265385839296,0.33368480818436785,-0.08238128163095448,0.10053114965543128
QQQ,2022,BUYHOLD,1,,1.7507092462422649,1.0,0.5023103414647216,1.9298689853823707,0.3957845112525751,-0.24830002069774826,-0.32070821478467604,-0.7768036613813218,-0.3274820817829388,0.39757586776154064
ECH,2022,LOGIT,5,0.6,0.15613501766703441,0.6666666666666666,0.09683782789848272,0.6981112598625333,-0.17652287624951157,-0.3953025288795341,0.1950502081860659,1.1467228259570863,-0.08493741811226185,0.16812253063005425
CPER,2022,MEANREV,1,,1.1514220776075383,1.0,0.0781503031248203,1.413999208209152,0.010918375578285566,-0.03953255589532789,0.04767809057379435,0.6419467653988952,-0.033584792689267284,0.07746655099257488
QQQ,2023,HGB,1,0.56,1.0560280507811217,0.6666666666666666,0.2594135742143955,1.4844400234864061,-0.07125172830005999,-0.16559305990343198,0.09368517155797074,0.715442055554266,-0.09452187409165391,0.1396544469312132
ECH,2023,LOGIT,5,0.64,0.6425000460011953,0.6666666666666666,0.24466555346281282,1.4226994587228599,-0.17911124888742735,-0.39458175144552776,-0.010023058098579063,-0.0809146483996312,-0.08433149710467547,0.08303177886749423
CPER,2023,MEANREV,1,,1.2363222092461579,1.0,0.0781503031248203,1.413999208209152,0.04767809057379435,-0.03953255589532789,-0.0114781815924756,-0.09197554305794234,-0.07935589616700656,0.08645898336566406
QQQ,2024,BUYHOLD,1,,1.1966406190724101,0.6666666666666666,0.5485683884965267,1.9298689853823707,-0.32070821478467604,-0.3274820817829388,0.44888218646976497,1.6096050674592,-0.1380797701562575,0.24987910863546162
ECH,2024,RF,5,0.6,1.1490542470440834,1.0,0.04735253449999344,1.2615465425555612,0.02741676730258691,-0.04483105218079264,0.0453533312043759,1.0207236210904713,-0.012675339715355949,0.044400471267488945
CPER,2024,RF,1,0.52,0.5418035545816429,0.6666666666666666,0.08823453979029772,0.9108133889015371,-0.040204144697450594,-0.139124980133007,0.06347517404266045,0.507090927049204,-0.1234332621407016,0.14102413154843035
QQQ,2025,LOGIT,20,0.56,0.878078042118654,0.6666666666666666,0.2884218079578438,1.3555122316880361,-0.16011690675840495,-0.2537043347696072,0.07703263689302497,0.4117364005809762,-0.2418669385565002,0.26682815444725144
ECH,2025,RF,5,0.6,0.897228726017382,1.0,0.04735253449999344,1.0207236210904713,0.0453533312043759,-0.04483105218079264,0.03455518549308212,0.3857167441628079,-0.048052025238631835,0.10192446274800951
CPER,2025,RF,1,0.52,0.7218218164071737,1.0,0.08823453979029772,0.9108133889015371,0.06347517404266045,-0.1234332621407016,0.05173541934888726,0.413499407117851,-0.10460413739832641,0.1491870316856871
QQQ,2026,BUYHOLD,1,,1.2914702563295442,1.0,0.44888218646976497,1.6096050674592,0.06546820461303127,-0.2467420137993518,0.2671840402215502,1.4636537672814205,-0.09035637973623079,0.2458762231853039
ECH,2026,RF,5,0.6,0.8201426458019597,1.0,0.0453533312043759,0.9726343482105828,0.03455518549308212,-0.048052025238631835,-0.015358960993888782,-0.23281730978239332,-0.05201208859257522,0.07912972946710316
CPER,2026,LOGIT,1,0.64,0.8089789691445224,1.0,0.07999248167218731,0.9178648185347362,0.06971117102859536,-0.04031997471080884,0.1732006554921477,1.4143188080069782,-0.062096548249684025,0.16703519331410402
