,portfolio_gross_ret,portfolio_turnover,portfolio_net_ret,capital_clp,benchmark_ret,benchmark_capital_clp
2022-04-01,-0.0014631297847726543,0.0,-0.0014631297847726543,10612051.546970038,0.0010627003387562834,20550531.018341012
2022-04-04,0.004704571892415998,0.0,0.004704571892415998,10661976.706398781,0.009243736761621978,20740494.717386104
2022-04-05,-0.008149504191256707,0.0,-0.008149504191256707,10575086.882542903,-0.019954297922439145,20326632.706736606
2022-04-06,-0.0033544134490561483,0.0,-0.0033544134490561483,10539613.668879164,-0.002739819289088963,20270941.406364463
2022-04-07,0.005490221989797872,0.0,0.005490221989797872,10597478.48760802,0.013536739770590799,20545343.865087315
2022-04-08,-0.0019217002551791705,0.0,-0.0019217002551791705,10577113.310494127,-0.0002622443262824902,20539955.965227176
2022-04-11,-0.0038430008870013353,0.0,-0.0038430008870013353,10536465.454659985,-0.01121795435124917,20309539.676832587
2022-04-12,-0.0004419963719092701,0.0,-0.0004419963719092701,10531808.375156278,0.01005501422337467,20513752.38715333
2022-04-13,0.0019006225389916142,0.0,0.0019006225389916142,10551825.36753044,-0.002106450395629733,20470541.185321562
2022-04-14,-0.0069329187005798265,0.0,-0.0069329187005798265,10478670.420114638,-0.012789921155725081,20208724.577546276
2022-04-18,0.0036228512289089073,0.0,0.0036228512289089073,10516633.084123481,0.016316572381001305,20538461.694843527
2022-04-19,0.007322925076023856,0.0,0.007322925076023856,10593645.600250551,0.0032485769812527375,20605182.468735736
2022-04-20,-0.0032126225785868434,0.0,-0.0032126225785868434,10559612.215205638,0.002023121849659959,20646869.263604466
2022-04-21,-0.007774339064691892,0.0,-0.007774339064691892,10477518.209452968,-0.023193445077999253,20167997.235306423
2022-04-22,-0.004478780890203993,0.0,-0.004478780890203993,10430591.701119704,-0.00742005362804179,20018349.61425025
2022-04-25,0.008424390664682568,0.0,0.008424390664682568,10518463.080473732,-2.7415871749147946e-05,20017800.793744594
2022-04-26,-0.008680838344988073,0.0,-0.008680838344988073,10427154.002834413,-0.011984171804614174,19777904.02988182
2022-04-27,0.0003501692240227561,0.0,0.0003501692240227561,10430805.271260353,0.005608945014179345,19888837.20608114
2022-04-28,0.010669544464114078,0.0,0.010669544464114078,10542097.21189858,0.006698630933006489,20022065.186211325
2022-04-29,-0.009756089814913138,0.0,-0.009756089814913138,10439247.56466175,-0.007287042000958588,19876163.55625347
2022-05-02,0.00305242863598012,0.0,0.00305242863598012,10471112.62286621,-0.010516015972542337,19667145.502823047
2022-05-03,0.0034044428842922247,0.0,0.0034044428842922247,10506760.927725751,0.015953447385061992,19980904.273816694
2022-05-04,0.008072005577704688,0.0,0.008072005577704688,10591571.560537962,0.02354469035421882,20451348.477941
2022-05-05,-0.015775724282623638,0.0,-0.015775724282623638,10424481.847879237,-0.03045235352572635,19828556.78401291
2022-05-06,-0.0005467447222847199,0.0,-0.0005467447222847199,10418782.317446355,0.0015420283692004653,19859132.981094163
2022-05-09,-0.012838654611924138,0.3,-0.013288654611924139,10280330.717752988,-0.03025548131537139,19258285.354245193
2022-05-10,0.007773509466297712,0.0,0.007773509466297712,10360244.965904111,0.011431296713423578,19478432.528321348
2022-05-11,-0.007587713503285832,0.0,-0.007587713503285832,10281634.395278972,-0.0064457950621671254,19352878.54411154
2022-05-12,-0.012415224661976454,0.0,-0.012415224661976454,10153985.59436928,-0.012740524382718877,19106312.72314449
2022-05-13,0.019955626466959142,0.0,0.019955626466959142,10356614.738041397,0.033626149662326264,19748784.454268154
2022-05-16,-0.004506257120026081,0.3,-0.004956257120026081,10305284.692506611,-0.006443859450346901,19621526.062929656
2022-05-17,0.006832692230798809,0.0,0.006832692230798809,10375697.531161273,0.021926258370586815,20051752.713010654
2022-05-18,-0.016983298415346546,0.0,-0.016983298415346546,10199483.963722186,-0.032618565535440736,19397693.303040866
2022-05-19,-0.00029891078940588175,0.3,-0.0007489107894058818,10191845.460135382,0.020817848255185012,19801511.53872419
2022-05-20,-0.011615886177726586,0.3,-0.012065886177726587,10068871.812872408,-0.016386847650678348,19477027.18588597
2022-05-23,0.004605553166694842,0.0,0.004605553166694842,10115244.537335228,0.016479987243617364,19798008.34545296
2022-05-24,-0.008493005895458705,0.0,-0.008493005895458705,10029335.705845635,-0.013898043972585362,19522854.754898243
2022-05-25,0.0041545985191648645,0.0,0.0041545985191648645,10071003.569117349,0.0022980278767077756,19567718.819357917
2022-05-26,0.00895865383838763,0.0,0.00895865383838763,10161226.20389824,0.01883752166636704,19936326.14657895
2022-05-27,0.006707438545881649,0.0,0.006707438545881649,10229382.004211688,0.012064502578274893,20176848.004775677
2022-05-31,0.001627942089567491,0.0,0.001627942089567491,10246034.845726611,0.0009104092958198028,20195217.19475957
2022-06-01,-0.004471795653811217,0.0,-0.004471795653811217,10200216.671634693,-0.011518905876668028,19962590.388734266
2022-06-02,0.007991184283345642,0.0,0.007991184283345642,10281728.482787777,0.0334933676338461,20631204.767548025
2022-06-03,-0.011490683384125922,0.0,-0.011490683384125922,10163584.396150513,-0.02573573059048887,20100245.639893197
2022-06-06,0.0004735166567541471,0.0,0.0004735166567541471,10168397.022654418,-0.006462491256689662,19970347.978188075
2022-06-07,0.006664217404055783,0.0,0.006664217404055783,10236161.431064142,0.014275696735801846,20255438.60963312
2022-06-08,-0.0013403139924199503,0.0,-0.0013403139924199503,10222441.760669416,-0.002758692503135851,20199560.082992997
2022-06-09,-0.009186295032120461,0.0,-0.009186295032120461,10128535.394707238,-0.023014117955178215,19734685.024600286
2022-06-10,-0.008907218470549183,0.0,-0.008907218470549183,10038318.317159891,-0.01562699287090128,19426291.242411375
2022-06-13,-0.007670252905063046,0.0,-0.007670252905063046,9961321.876925748,-0.014314377490873208,19148215.976319857
2022-06-14,0.0070708904316595595,0.0,0.0070708904316595595,10031757.292471983,0.014724534438844115,19430164.5419056
2022-06-15,0.009659162280146317,0.0,0.009659162280146317,10128655.664115012,0.020857265390386813,19835424.640335012
2022-06-16,-0.016088096532603822,0.0,-0.016088096532603822,9965704.874045225,-0.03953756564043248,19051180.236611914
2022-06-17,0.007221322823677134,0.0,0.007221322823677134,10037670.446106197,0.0065508617451984445,19175981.884424817
2022-06-21,0.013424896322754032,0.0,0.013424896322754032,10172425.131167147,0.029592244238694554,19743442.223865498
2022-06-22,-0.003694064874888714,0.3,-0.004144064874888714,10130269.94148864,-0.025998091746900064,19230150.401529822
2022-06-23,0.004651502575847499,0.0,0.004651502575847499,10177390.918215508,-0.004144494308527514,19150451.15263856
2022-06-24,0.020470536083192714,0.3,0.020020536083192715,10381147.740326397,0.02403879079918274,19610804.841606803
2022-06-27,0.01727676000387077,0.0,0.01727676000387077,10560500.338400742,0.01727676000387077,19949616.01033799
2022-06-28,-0.011241716679406155,0.6,-0.012141716679406155,10432277.735299109,-0.011241716679406155,19725348.07928683
2022-06-29,-0.002795926877651822,0.3,-0.003245926877651822,10398415.324602975,-0.010907912791458762,19510185.702656798
2022-06-30,0.004491495214579654,0.3,0.004041495214579654,10440440.470376572,0.001874624001348712,19546759.96504577
2022-07-01,-0.001296239434612234,0.0,-0.001296239434612234,10426907.159724148,-0.014010899126149423,19272892.28293246
2022-07-05,0.009132274598554835,0.6,0.008232274598554835,10512744.322676634,-0.00413144877712258,19193267.315678522
2022-07-06,0.022836214024106426,0.0,0.022836214024106426,10752815.60200999,0.022836214024106426,19631568.875921242
2022-07-07,0.043137434504168334,0.0,0.043137434504168334,11216664.480777094,0.043137434504168334,20478424.392520368
2022-07-08,-0.024335399037166427,0.3,-0.024785399037166426,10938654.975755023,-0.024335399037166427,19980073.76327594
2022-07-11,0.0011655040490653912,0.0,0.0011655040490653912,10951404.022420594,-0.0006021960443927997,19968041.84188902
2022-07-12,-7.750857351364066e-05,0.0,-7.750857351364066e-05,10950555.194716845,-0.00912848867952163,19785763.79798312
2022-07-13,0.020048692000546108,0.0,0.020048692000546108,11170099.503050702,0.03428502622664384,20464119.22871115
2022-07-14,-0.011768046872982317,0.0,-0.011768046872982317,11038649.248522924,-0.021693908324172007,20020172.502228566
2022-07-15,0.02541557755915573,0.0,0.02541557755915573,11319202.894647075,0.024419731290323064,20509059.735118903
2022-07-18,0.029727523458332315,0.0,0.029727523458332315,11655694.76422732,0.05004560817178845,21535448.10259447
2022-07-19,0.017103989599905355,0.0,0.017103989599905355,11855053.646254336,0.01485795760123718,21855420.87742646
2022-07-20,0.004996664268448536,0.3,0.004546664268448536,11908954.595068302,0.008470977488506204,22040557.655680962
2022-07-21,-0.03141892604671074,0.0,-0.03141892604671074,11534788.031352215,-0.10116691878615491,19810782.349327125
2022-07-22,-0.004828217354859765,0.0,-0.004828217354859765,11479095.56759461,-0.009300502260982944,19626532.123295367
2022-07-25,0.005877763788531487,0.0,0.005877763788531487,11546566.979846912,0.033268680337297685,20279480.94663498
2022-07-26,-0.010683469482403328,0.0,-0.010683469482403328,11423209.583891189,-0.017109192091000678,19932515.411613215
2022-07-27,0.008661154483206946,0.0,0.008661154483206946,11522147.766791321,0.0149623060195063,20230751.8069403
2022-07-28,-0.0018676467981914467,0.0,-0.0018676467981914467,11500628.464406386,-0.009051355164995056,20047636.087080818
2022-07-29,0.005034781016179801,0.0,0.005034781016179801,11558531.610273115,0.01684371229072916,20385312.70144085
2022-08-01,-0.00277169004054727,0.0,-0.00277169004054727,11526494.943325572,-0.013027386853821519,20119745.346743055
2022-08-02,-0.00401631857240059,0.0,-0.00401631857240059,11480200.867610011,-0.018330237286747497,19750945.64038832
2022-08-03,0.014425185177772292,0.0,0.014425185177772292,11645804.891003309,0.022908602820982726,20203412.209402796
2022-08-04,0.002009550719674502,0.0,0.002009550719674502,11669207.726603212,0.005500323331893253,20314537.508962035
2022-08-05,-0.005461732425356902,0.0,-0.005461732425356902,11605473.636384597,-0.006983222748908601,20172676.568495892
2022-08-08,0.0042489652377447834,0.0,0.0042489652377447834,11654784.89043316,0.02555517227748176,20688192.793501727
2022-08-09,-0.007351861583786479,0.0,-0.007351861583786479,11569100.525129892,-0.015675504483657055,20363894.93460843
2022-08-10,0.007641032779892964,0.0,0.007641032779892964,11657500.401476286,0.01737191491115679,20717654.78467219
2022-08-11,-0.0070429329402975855,0.0,-0.0070429329402975855,11575397.407897197,-0.010876787930347442,20492313.247165162
2022-08-12,0.004920560244439831,0.0,0.004920560244439831,11632354.848196087,0.01111746995730396,20720135.924046185
2022-08-15,-0.0007043847207778509,0.0,-0.0007043847207778509,11624161.195174351,-0.009850221579909202,20516037.994028494
2022-08-16,0.0010926642693840582,0.0,0.0010926642693840582,11636862.500773879,0.0007171558296307668,20530751.19027684
2022-08-17,-0.003256793582917461,0.0,-0.003256793582917461,11598963.641656065,-0.009748678572801726,20330603.496064663
2022-08-18,0.006217122410566911,0.0,0.006217122410566911,11671075.818451958,0.007779586945662276,20488767.193620086
2022-08-19,0.004676094015588173,0.0,0.004676094015588173,11725650.866242094,0.020506216362756225,20908914.286698602
2022-08-22,-0.0032455932730435675,0.0,-0.0032455932730435675,11687594.172668563,0.007499544898167087,21065721.628163625
