Date,asset,year,strategy,horizon,threshold,signal,p_up,position_asset_level,turnover_asset_level,daily_ret_clp,strategy_ret_asset_level,price_usd,usdclp,price_clp
2018-10-10,QQQ,2018,BUYHOLD,5,,1.0,,1.0,0.0,-0.041725414891493284,-0.041725414891493284,163.32861328125,680.2000122070312,111096.12474766374
2018-10-11,ECH,2018,BUYHOLD,5,,1.0,,1.0,0.0,0.014025591761936074,0.014025591761936074,32.428436279296875,687.7999877929688,22304.278077045456
2018-10-11,CPER,2018,BUYHOLD,5,,1.0,,1.0,0.0,0.013508474615584909,0.013508474615584909,17.360000610351562,687.7999877929688,11940.208207885735
2018-10-11,QQQ,2018,BUYHOLD,5,,1.0,,1.0,0.0,-0.0013684775139282124,-0.0013684775139282124,161.30284118652344,687.7999877929688,110944.092199062
2018-10-12,ECH,2018,BUYHOLD,5,,1.0,,1.0,0.0,0.0021858379214387824,0.0021858379214387824,32.73250961303711,682.9000244140625,22353.031613876577
2018-10-12,CPER,2018,BUYHOLD,5,,1.0,,1.0,0.0,0.011177730725942858,0.011177730725942858,17.68000030517578,682.9000244140625,12073.672640045173
2018-10-12,QQQ,2018,BUYHOLD,5,,1.0,,1.0,0.0,0.020507821438980223,0.020507821438980223,165.79193115234375,682.9000244140625,113219.31383159012
2018-10-15,ECH,2018,BUYHOLD,5,,1.0,,1.0,0.0,-0.009344658679002804,-0.009344658679002804,32.6032829284668,679.2000122070312,22144.150163003942
2018-10-15,CPER,2018,BUYHOLD,5,,1.0,,1.0,0.0,-0.016106497815400078,-0.016106497815400078,17.489999771118164,679.2000122070312,11879.20805804443
2018-10-15,QQQ,2018,BUYHOLD,5,,1.0,,1.0,0.0,-0.017456683319945543,-0.017456683319945543,163.78515625,679.2000122070312,111242.88012433052
2018-10-16,CPER,2018,BUYHOLD,5,,1.0,,1.0,0.0,-0.008419253546743666,-0.008419253546743666,17.43000030517578,675.7999877929688,11779.193993469235
2018-10-16,ECH,2018,BUYHOLD,5,,1.0,,1.0,0.0,0.014016853312588395,0.014016853312588395,33.22660827636719,675.7999877929688,22454.5414675707
2018-10-16,QQQ,2018,BUYHOLD,5,,1.0,,1.0,0.0,0.023941053565966763,0.023941053565966763,168.5500946044922,675.7999877929688,113906.15187621955
2018-10-17,QQQ,2018,BUYHOLD,5,,1.0,,1.0,0.0,-0.009967383663126328,-0.009967383663126328,168.61663818359375,668.7999877929688,112770.80555887893
2018-10-17,ECH,2018,BUYHOLD,5,,1.0,,1.0,0.0,-0.020773235492728692,-0.020773235492728692,32.87692642211914,668.7999877929688,21988.087989783613
2018-10-17,CPER,2018,BUYHOLD,5,,1.0,,1.0,0.0,-0.013764748616584055,-0.013764748616584055,17.3700008392334,668.7999877929688,11617.056349243154
2018-10-18,QQQ,2018,BUYHOLD,5,,1.0,,1.0,0.0,-0.016756280251355782,-0.016756280251355782,164.7076416015625,673.2000122070312,110881.1863367632
2018-10-18,CPER,2018,BUYHOLD,5,,1.0,,1.0,0.0,-0.006169927608439485,-0.006169927608439485,17.149999618530273,673.2000122070312,11545.379952545161
2018-10-18,ECH,2018,BUYHOLD,5,,1.0,,1.0,0.0,-0.007385017873919653,-0.007385017873919653,32.420833587646484,673.2000122070312,21825.705566965742
2018-10-19,CPER,2018,BUYHOLD,5,,1.0,,1.0,0.0,0.02185650390069127,0.02185650390069127,17.459999084472656,675.7000122070312,11797.721594512928
2018-10-19,QQQ,2018,BUYHOLD,5,,1.0,,1.0,0.0,0.0027865392279102785,0.0027865392279102785,164.55551147460938,675.7000122070312,111190.16111212783
2018-10-19,ECH,2018,BUYHOLD,5,,1.0,,1.0,0.0,-0.000522245294501178,-0.000522245294501178,32.28401184082031,675.7000122070312,21814.307194934227
2018-10-22,CPER,2018,BUYHOLD,5,,1.0,,1.0,0.0,0.004324156465160822,0.004324156465160822,17.440000534057617,679.4000244140625,11848.736788620008
2018-10-22,QQQ,2018,BUYHOLD,5,,1.0,,1.0,0.0,0.010647942715466652,0.010647942715466652,165.4019775390625,679.4000244140625,112374.10757817328
2018-10-22,ECH,2018,BUYHOLD,5,,1.0,,1.0,0.0,0.004055357209649335,0.004055357209649335,32.2384033203125,679.4000244140625,21902.772002890706
2018-10-23,ECH,2018,BUYHOLD,5,,1.0,,1.0,0.0,0.00036634419232428606,0.00036634419232428606,32.13197708129883,681.9000244140625,21910.795956209768
2018-10-23,QQQ,2018,BUYHOLD,5,,1.0,,1.0,0.0,-1.3693990875807138e-05,-1.3693990875807138e-05,164.79331970214844,681.9000244140625,112372.56872816943
2018-10-23,CPER,2018,BUYHOLD,5,,1.0,,1.0,0.0,-0.0020753487624178835,-0.0020753487624178835,17.34000015258789,681.9000244140625,11824.14652738953
2018-10-24,ECH,2018,BUYHOLD,5,,1.0,,1.0,0.0,-0.015429608257018446,-0.015429608257018446,31.645475387573242,681.7000122070312,21572.720958005986
2018-10-24,QQQ,2018,BUYHOLD,5,,1.0,,1.0,0.0,-0.046047003425829125,-0.046047003425829125,157.25120544433594,681.7000122070312,107198.14867097419
2018-10-24,CPER,2018,BUYHOLD,5,,1.0,,1.0,0.0,-0.005482113797227406,-0.005482113797227406,17.25,681.7000122070312,11759.325210571289
2018-10-25,ECH,2018,BUYHOLD,5,,1.0,,1.0,0.0,0.026426022176202046,0.026426022176202046,32.086368560791016,690.0999755859375,22142.802160443272
2018-10-25,QQQ,2018,BUYHOLD,5,,1.0,,1.0,0.0,0.0473440763968791,0.0473440763968791,162.69142150878906,690.0999755859375,112273.3460112568
2018-10-25,CPER,2018,BUYHOLD,5,,1.0,,1.0,0.0,0.016430037652301888,0.016430037652301888,17.31999969482422,690.0999755859375,11952.531366546638
2018-10-26,ECH,2018,BUYHOLD,5,,1.0,,1.0,0.0,-0.0038569137701560674,-0.0038569137701560674,32.10917663574219,686.9500122070312,22057.39928188082
2018-10-26,CPER,2018,BUYHOLD,5,,1.0,,1.0,0.0,-0.012035968400763042,-0.012035968400763042,17.190000534057617,686.9500122070312,11808.671076709754
2018-10-26,QQQ,2018,BUYHOLD,5,,1.0,,1.0,0.0,-0.03016884332418779,-0.03016884332418779,158.5067138671875,686.9500122070312,108886.18902596086
2018-10-29,ECH,2018,BUYHOLD,5,,1.0,,1.0,0.0,-0.030414082688340893,-0.030414082688340893,31.280595779418945,683.7000122070312,21386.543716231943
2018-10-29,CPER,2018,BUYHOLD,5,,1.0,,1.0,0.0,-0.017468717493776764,-0.017468717493776764,16.969999313354492,683.7000122070312,11602.388737693778
2018-10-29,QQQ,2018,BUYHOLD,5,,1.0,,1.0,0.0,-0.02521475585273525,-0.02521475585273525,155.24447631835938,683.7000122070312,106140.65035393648
2018-10-30,CPER,2018,BUYHOLD,5,,1.0,,1.0,0.0,0.0016566915633502433,0.0016566915633502433,16.770000457763672,693.0,11621.610317230225
2018-10-30,QQQ,2018,BUYHOLD,5,,1.0,,1.0,0.0,0.03030618879381075,0.03030618879381075,157.80284118652344,693.0,109357.36894226074
2018-10-30,ECH,2018,BUYHOLD,5,,1.0,,1.0,0.0,0.015080379031283897,0.015080379031283897,31.32620620727539,693.0,21709.060901641846
2018-10-31,ECH,2018,BUYHOLD,5,,1.0,,1.0,0.0,0.007522488190115473,0.007522488190115473,31.561857223510742,693.0,21872.367055892944
2018-10-31,CPER,2018,BUYHOLD,5,,1.0,,1.0,0.0,-0.005366735249325849,-0.005366735249325849,16.68000030517578,693.0,11559.240211486816
2018-10-31,QQQ,2018,BUYHOLD,5,,1.0,,1.0,0.0,0.023505654304530443,0.023505654304530443,161.51210021972656,693.0,111927.88545227051
2018-11-01,CPER,2018,BUYHOLD,5,,1.0,,1.0,0.0,0.02586971569218144,0.02586971569218144,17.049999237060547,695.5,11858.27446937561
2018-11-01,QQQ,2018,BUYHOLD,5,,1.0,,1.0,0.0,0.016845440826558367,0.016845440826558367,163.6425018310547,695.5,113813.36002349854
2018-11-01,ECH,2018,BUYHOLD,5,,1.0,,1.0,0.0,0.04639147022877066,0.04639147022877066,32.907344818115234,695.5,22887.058320999146
2018-11-02,ECH,2018,BUYHOLD,5,,1.0,,1.0,0.0,0.001077960010112955,0.001077960010112955,33.287418365478516,688.2999877929688,22911.729654618306
2018-11-02,CPER,2018,BUYHOLD,5,,1.0,,1.0,0.0,0.023893602388704416,0.023893602388704416,17.639999389648438,688.2999877929688,12141.611364562996
2018-11-02,QQQ,2018,BUYHOLD,5,,1.0,,1.0,0.0,-0.025766995965925465,-0.025766995965925465,161.09361267089844,688.2999877929688,110880.73163490463
2018-11-05,CPER,2018,BUYHOLD,5,,1.0,,1.0,0.0,-0.0252421406410267,-0.0252421406410267,17.270000457763672,685.2999877929688,11835.131102890009
2018-11-05,QQQ,2018,BUYHOLD,5,,1.0,,1.0,0.0,-0.006827337741212136,-0.006827337741212136,160.6941680908203,685.2999877929688,110123.71143104043
2018-11-05,ECH,2018,BUYHOLD,5,,1.0,,1.0,0.0,-0.005268050063646834,-0.005268050063646834,33.25701141357422,685.2999877929688,22791.029515753035
2018-11-06,CPER,2018,BUYHOLD,5,,1.0,,1.0,0.0,-0.016796188996345607,-0.016796188996345607,17.139999389648438,678.9000244140625,11636.34600408934
2018-11-06,QQQ,2018,BUYHOLD,5,,1.0,,1.0,0.0,-0.0018339348620748375,-0.0018339348620748375,161.9115447998047,678.9000244140625,109921.75171750598
2018-11-06,ECH,2018,BUYHOLD,5,,1.0,,1.0,0.0,-0.005715868758274456,-0.005715868758274456,33.378639221191406,678.9000244140625,22660.75898217503
2018-11-07,ECH,2018,BUYHOLD,5,,1.0,,1.0,0.0,0.004585596913578849,0.004585596913578849,33.47745895385742,680.0,22764.672088623047
2018-11-07,QQQ,2018,BUYHOLD,5,,1.0,,1.0,0.0,0.03303858863812548,0.03303858863812548,166.9903106689453,680.0,113553.41125488281
2018-11-07,CPER,2018,BUYHOLD,5,,1.0,,1.0,0.0,0.003957789104415355,0.003957789104415355,17.18000030517578,680.0,11682.400207519531
2018-11-08,QQQ,2018,BUYHOLD,5,,1.0,,1.0,0.0,-0.013684946842878465,-0.013684946842878465,165.9250946044922,675.0,111999.43885803223
2018-11-08,CPER,2018,BUYHOLD,5,,1.0,,1.0,0.0,-0.010819663664289547,-0.010819663664289547,17.1200008392334,675.0,11556.000566482544
2018-11-08,ECH,2018,BUYHOLD,5,,1.0,,1.0,0.0,-0.009156033704680544,-0.009156033704680544,33.416648864746094,675.0,22556.237983703613
2018-11-09,ECH,2018,BUYHOLD,5,,1.0,,1.0,0.0,-0.01705243127039302,-0.01705243127039302,32.74010467529297,677.2000122070312,22171.59928576788
