,pos_NASDAQ100_TR,ret_NASDAQ100_TR,pos_CHILE_LARGECAP_NTR,ret_CHILE_LARGECAP_NTR,pos_COPPER_MINERS_TR,ret_COPPER_MINERS_TR,portfolio_ret_gross,cost,portfolio_ret_net,capital,cash_weight
2026-02-26,0.0,-0.011623800005383877,0.0,-0.011168812691185859,0.0,-0.008265394902200907,0.0,0.0,0.0,10000000.0,1.0
2026-02-27,0.0,-0.0028535763554815574,0.0,-0.031151079136690685,0.0,0.0010275697366497472,0.0,0.0,0.0,10000000.0,1.0
2026-03-02,0.0,0.001327537887812813,0.0,-0.05430558649538375,0.0,-0.014139938733694457,0.0,0.0,0.0,10000000.0,1.0
2026-03-03,0.0,-0.010874730752722384,0.0,-0.05519930902714154,0.0,-0.05724339451806737,0.0,0.0,0.0,10000000.0,1.0
2026-03-04,0.0,0.015140948142526867,0.0,0.044780874286663996,0.0,0.009992535065547203,0.0,0.0,0.0,10000000.0,1.0
2026-03-05,0.0,-0.002849874739053293,0.0,-0.03203012104097891,0.0,-0.054936030428768934,0.0,0.0,0.0,10000000.0,1.0
2026-03-06,0.0,-0.014935426216513004,0.0,-0.01136783860408419,0.0,-0.0382254745026297,0.0,0.0,0.0,10000000.0,1.0
2026-03-09,0.0,0.013212200942747998,0.0,0.014186165717689825,0.0,0.003523671846765275,0.0,0.0,0.0,10000000.0,1.0
2026-03-10,0.0,-0.0004318135775607246,0.0,0.0523720409250481,0.0,0.03134580847545165,0.0,0.0,0.0,10000000.0,1.0
2026-03-11,0.0,0.0003872537262066267,0.0,-0.029335029399929935,0.0,-0.007728074689406839,0.0,0.0,0.0,10000000.0,1.0
2026-03-12,0.0,-0.017281209053164437,0.0,-0.04121367727096448,0.0,-0.03133826620856983,0.0,0.0,0.0,10000000.0,1.0
2026-03-13,0.0,-0.006105789053756583,0.0,0.010181453018870412,0.0,-0.044297746632377066,0.0,0.0,0.0,10000000.0,1.0
2026-03-16,0.0,0.011293917986086255,0.0,0.02247718455314862,0.0,0.013954814410971794,0.0,0.0,0.0,10000000.0,1.0
2026-03-17,0.0,0.005073120055406166,0.0,0.003659343478671806,0.0,-0.0003748994924057669,0.0,0.0,0.0,10000000.0,1.0
2026-03-18,0.0,-0.014338834049579363,0.0,-0.004897212356043457,0.0,-0.041841644254731136,0.0,0.0,0.0,10000000.0,1.0
2026-03-19,0.0,-0.002858598685010927,0.0,-0.01650803093396791,0.0,-0.04514178589454387,0.0,0.0,0.0,10000000.0,1.0
2026-03-20,0.0,-0.01870207895631859,0.0,-0.0235624046299987,0.0,-0.0316179524382284,0.0,0.0,0.0,10000000.0,1.0
2026-03-23,0.0,0.012216079374975264,0.0,0.011347477790761618,0.0,0.046697374943605485,0.0,0.0,0.0,10000000.0,1.0
2026-03-24,0.0,-0.007695782115501815,0.0,-0.011303682049140451,0.0,0.011259930929157225,0.0,0.0,0.0,10000000.0,1.0
2026-03-25,0.0,0.006711395624888317,0.0,0.028624530081804433,0.0,0.03080946542551799,0.0,0.0,0.0,10000000.0,1.0
2026-03-26,0.0,-0.02383723379247471,0.0,-0.011429588261059886,0.0,-0.04222691863967254,0.0,0.0,0.0,10000000.0,1.0
2026-03-27,0.0,-0.019239382165483043,0.0,-0.004153916450893802,0.0,0.006806238074426263,0.0,0.0,0.0,10000000.0,1.0
2026-03-30,0.0,-0.0077454521326516534,0.0,-0.006382002474937809,0.0,-0.01674439779988257,0.0,0.0,0.0,10000000.0,1.0
2026-03-31,0.0,0.03432219905809819,0.0,0.021549914639948486,0.0,0.06503854933884656,0.0,0.0,0.0,10000000.0,1.0
2026-04-01,0.0,0.011852923351164835,0.0,0.03227308840853693,0.0,0.04079548671492694,0.0,0.0,0.0,10000000.0,1.0
2026-04-02,0.0,0.0011572622734892235,0.0,-0.010217893256190491,0.0,-0.00784900381764675,0.0,0.0,0.0,10000000.0,1.0
2026-04-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000000.0,1.0
2026-04-06,0.0,0.0061031588445805696,0.0,-0.004156164530487505,0.0,0.0007930679982375288,0.0,0.0,0.0,10000000.0,1.0
2026-04-07,0.0,0.0004219802883644874,0.0,-0.030924365222542383,0.0,-0.0053758707051733134,0.0,0.0,0.0,10000000.0,1.0
2026-04-08,0.0,0.028955506978217027,0.0,0.06711493310734795,0.0,0.07700176557666505,0.0,0.0,0.0,10000000.0,1.0
2026-04-09,0.0,0.007202487538908953,0.0,0.012992761547674814,0.0,-0.0008036896661949289,0.0,0.0,0.0,10000000.0,1.0
2026-04-10,0.0,0.0013685574658359734,0.0,0.016488883176969393,0.0,0.02455510159313401,0.0,0.0,0.0,10000000.0,1.0
2026-04-13,0.0,0.010645652641270598,0.0,-0.0074722162517542046,0.0,0.008894360511537247,0.0,0.0,0.0,10000000.0,1.0
2026-04-14,0.0,0.018054039270428923,0.0,0.030903671244044695,0.0,0.018958267935856643,0.0,0.0,0.0,10000000.0,1.0
2026-04-15,0.0,0.014030608599558958,0.0,-0.004955021747726329,0.0,0.0035015555237365437,0.0,0.0,0.0,10000000.0,1.0
2026-04-16,0.0,0.004900887765286077,0.0,0.014554124703515692,0.0,-0.003861187498919172,0.0,0.0,0.0,10000000.0,1.0
2026-04-17,0.0,0.012889890116670522,0.0,0.0068544290627792215,0.0,0.022731711975275903,0.0,0.0,0.0,10000000.0,1.0
2026-04-20,0.0,-0.003077550708978083,0.0,-0.01827155691170579,0.0,-0.008628299804770312,0.0,0.0,0.0,10000000.0,1.0
2026-04-21,0.0,-0.004169664065988732,0.0,-0.02642528109366482,0.0,-0.04172749339646464,0.0,0.0,0.0,10000000.0,1.0
2026-04-22,0.0,0.017288965717717764,0.0,-0.014537915596143702,0.0,0.03256343817012142,0.0,0.0,0.0,10000000.0,1.0
2026-04-23,0.0,-0.005741205257074777,0.0,0.0002323210160173339,0.0,-0.042171255013433995,0.0,0.0,0.0,10000000.0,1.0
2026-04-24,0.0,0.019454368301396352,0.0,0.01232305766674835,0.0,-0.011721820202184596,0.0,0.0,0.0,10000000.0,1.0
2026-04-27,0.0,8.74600343709897e-05,0.0,-0.008208841074797246,0.0,-0.0022990397052840006,0.0,0.0,0.0,10000000.0,1.0
2026-04-28,0.0,-0.010118631715764659,0.0,-0.026989512646514502,0.0,-0.041931612028366816,0.0,0.0,0.0,10000000.0,1.0
2026-04-29,0.0,0.00584451956749743,0.0,-0.002813441115866233,0.0,-0.019418450636204176,0.0,0.0,0.0,10000000.0,1.0
2026-04-30,0.0,0.009752178167556469,0.0,-0.002013378369428609,0.0,0.020183352026137635,0.0,0.0,0.0,10000000.0,1.0
2026-05-01,0.0,0.009438587009806598,0.0,0.003649974118365318,0.0,-0.0077912518103906425,0.0,0.0,0.0,10000000.0,1.0
