,portfolio_gross_ret,portfolio_turnover,portfolio_net_ret,capital_clp,benchmark_ret,benchmark_capital_clp
2022-05-31,0.0012161852271634248,0.0,0.0012161852271634248,15183180.753909681,0.000910607212304737,20195219.68476016
2022-06-01,-0.0026173352511195454,0.0,-0.0026173352511195454,15143441.279698355,-0.01151898796062456,19962591.19234924
2022-06-02,0.02161514788762628,0.0,0.02161514788762628,15470769.00248662,0.03349333690665697,20631204.984684456
2022-06-03,-0.01834095898532425,0.0,-0.01834095898532425,15187020.262740588,-0.025735664632381562,20100247.212236702
2022-06-06,-0.0021638886652416735,0.0,-0.0021638886652416735,15154157.241735246,-0.006462561555375201,19970348.127349366
2022-06-07,0.01013250153684865,0.0,0.01013250153684865,15307706.763276776,0.014275626741611735,20255437.36311545
2022-06-08,-0.0018453419440668383,0.0,-0.0018453419440668383,15279458.809919026,-0.0027586169508016624,20199560.370259654
2022-06-09,-0.012919945038678753,0.0,-0.012919945038678753,15082049.041874116,-0.023014126228689456,19734685.138134465
2022-06-10,-0.008895798463836896,0.0,-0.008895798463836896,14947882.1731759,-0.0156269858024359,19426291.493665293
2022-06-13,-0.006541205895220907,0.3,-0.006991205895220907,14843378.451205725,-0.014314320881212083,19148217.323693007
2022-06-14,0.012916108883659821,0.0,0.012916108883659821,15035097.143482868,0.014724464561783779,19430164.57109706
2022-06-15,0.018387020569103914,0.0,0.018387020569103914,15311547.783918561,0.020857359984680142,19835426.50811801
2022-06-16,-0.0354231457350753,0.0,-0.0354231457350753,14769164.595339246,-0.03953768606347778,19051179.641904857
2022-06-17,0.004704041996451131,0.0,0.004704041996451131,14838639.365848219,0.006550897677349033,19175981.970371768
2022-06-21,0.02615884039693469,0.0,0.02615884039693469,15226800.964727115,0.02959223624891858,19743442.15914401
2022-06-22,-0.025053238799920968,0.0,-0.025053238799920968,14845320.28399894,-0.02599796707085711,19230152.800025214
2022-06-23,-0.0067366546776021635,0.0,-0.0067366546776021635,14745312.487667235,-0.004144519317381601,19150453.06026931
2022-06-24,0.02018184221805587,0.0,0.02018184221805587,15042900.057749264,0.024038801898213436,19610807.00764616
2022-06-27,0.01667263333523806,0.0,0.01667263333523806,15293704.81471075,0.017276750844191956,19949618.034170795
2022-06-28,-0.009124652688036451,0.0,-0.009124652688036451,15154155.069963163,-0.011241656520954834,19725351.2805064
2022-06-29,-0.010192960873296915,0.0,-0.010192960873296915,14999689.360267155,-0.010908024930953553,19510186.65696682
2022-06-30,0.001526576871514469,0.0,0.001526576871514469,15022587.539124439,0.001874624236231426,19546760.92572737
2022-07-01,-0.013679387356633297,0.0,-0.013679387356633297,14817087.745077824,-0.0140108994236254,19272893.224339355
2022-07-05,-0.006467014954243751,0.0,-0.006467014954243751,14721265.417052062,-0.004131461748506881,19193268.00319994
2022-07-06,0.02030208211364097,0.0,0.02030208211364097,15020137.75636576,0.02283624331500147,19631570.141331047
2022-07-07,0.0401219913703734,0.0,0.0401219913703734,15622775.593808487,0.04313738370200706,20478424.71519051
2022-07-08,-0.022987921234733553,0.0,-0.022987921234733553,15263640.458990099,-0.024335395745831587,19980074.14549513
2022-07-11,-0.0007254996150326029,0.0,-0.0007254996150326029,15252566.693713106,-0.0006021475409606625,19968043.19298021
2022-07-12,-0.009921824764212711,0.0,-0.009921824764212711,15101233.399773616,-0.009128454654788965,19785765.816148225
2022-07-13,0.03245051189793573,0.0,0.03245051189793573,15591276.153886475,0.03428495847459001,20464119.97554283
2022-07-14,-0.021442796251785523,0.0,-0.021442796251785523,15256955.596013363,-0.021693899345643586,20020173.416596226
2022-07-15,0.023287349957407485,0.0,0.023287349957407485,15612249.660262354,0.02441976248670548,20509061.296372164
2022-07-18,0.047572248273662784,0.0,0.047572248273662784,16354959.47721076,0.050045651323916515,21535450.626991235
2022-07-19,0.012497555018472831,0.0,0.012497555018472831,16559356.483102096,0.014857819776194003,21855420.471206192
2022-07-20,0.00725441681822532,0.07672471663622034,0.007139329743270989,16677579.189371334,0.008471004324123932,22040557.832523327
2022-07-21,-0.10116694574652145,0.0,-0.10116694574652145,14990359.44033689,-0.10116694574652145,19810781.91405737
2022-07-22,-0.009300354860480241,0.0,-0.009300354860480241,14850943.77805561,-0.009300354860480241,19626534.612193055
2022-07-25,0.03326858893517861,0.0,0.03326858893517861,15345013.721907193,0.03326858893517861,20279481.724428162
2022-07-26,-0.017109192091000678,0.0,-0.017109192091000678,15082472.93450004,-0.017109192091000678,19932516.176098984
2022-07-27,0.014962191895544485,0.07672471663622034,0.014847104820590155,15306403.991112279,0.014962191895544485,20230750.308086824
2022-07-28,-0.008573563419943961,0.0,-0.008573563419943961,15175173.565763194,-0.009051189060937149,20047637.962203715
2022-07-29,0.015555863195544896,0.0,0.015555863195544896,15411236.489720855,0.01684344935326716,20385309.33687273
2022-08-01,-0.012318376067871686,0.0,-0.012318376067871686,15221395.082969567,-0.01302718036961139,20119746.23525097
2022-08-02,-0.017302993929002034,0.0,-0.017302993929002034,14958019.376258003,-0.01833016358781997,19750947.995413397
2022-08-03,0.01921925567315617,0.0,0.01921925567315617,15245501.375014327,0.022908459556255378,20203411.788764026
2022-08-04,0.004986335544835989,0.0,0.004986335544835989,15321520.560419409,0.005500268859507784,20314535.985481583
2022-08-05,-0.005586276186450785,0.0,-0.005586276186450785,15235930.314972522,-0.006983087288088274,20172677.80747795
2022-08-08,0.024468472680970257,0.0,0.024468472680970257,15608730.259653594,0.025555149122326967,20688193.597044706
2022-08-09,-0.013795272565766035,0.0,-0.013795272565766035,15393403.571316151,-0.015675504138013073,20363895.732706215
2022-08-10,0.01541782165170859,0.0,0.01541782165170859,15630736.322191479,0.017372023470590768,20717657.80732745
2022-08-11,-0.009075627563435886,0.0,-0.009075627563435886,15488877.580788998,-0.010876872598933284,20492314.48280885
2022-08-12,0.009859059587745989,0.0,0.009859059587745989,15641583.347805299,0.011117503000350925,20720137.850555617
2022-08-15,-0.009670118064147727,0.0,-0.009670118064147727,15490327.390121814,-0.009850278296335356,20516038.72638921
2022-08-16,0.0004377735957444846,0.0,0.0004377735957444846,15497108.646442648,0.0007172359598339394,20530753.567117125
2022-08-17,-0.008915842600540819,0.07672471663622034,-0.00903092967549515,15357155.348083116,-0.009748786015176524,20330603.643860977
2022-08-18,0.007779635653170303,0.0,0.007779635653170303,15476628.421360338,0.007779635653170303,20488768.33281923
2022-08-19,0.020506253558167577,0.0,0.020506253558167577,15793996.087994296,0.020506253558167577,20908916.21134657
2022-08-22,0.007499513389290512,0.0,0.007499513389290512,15912443.37312661,0.007499513389290512,21065722.90842912
2022-08-23,0.007105687744979051,0.0,0.007105687744979051,16025512.22699571,0.007105687744979051,21215409.357538667
2022-08-24,-0.02271561184612443,0.09696724108453363,-0.02286106270775123,15659151.987050528,-0.02271561184612443,20733488.353416182
2022-08-25,0.024341665141808848,0.0,0.024341665141808848,16040321.821124004,0.026434700463222605,21281571.907596454
2022-08-26,-0.03313785048856701,0.0,-0.03313785048856701,15508780.034827098,-0.03610291988311838,20513245.02202967
2022-08-29,-0.008817332860106476,0.0,-0.008817332860106476,15372033.959005855,-0.01165382287935236,20274187.297862183
